STATION,NAME,DATE,DY,PRCP,TMAX,TMIN
USC00036920,"STUTTGART 9 ESE, AR US",1975-08,1,3.94,87.9,70.8
USC00036920,"STUTTGART 9 ESE, AR US",1975-09,1,1.12,80.9,59.2
USC00036920,"STUTTGART 9 ESE, AR US",1975-10,1,1.22,76.6,50.8
USC00036920,"STUTTGART 9 ESE, AR US",1975-11,1,2.88,63.6,42.7
USC00036920,"STUTTGART 9 ESE, AR US",1975-12,1,2.93,52.7,35.6
USC00036920,"STUTTGART 9 ESE, AR US",1976-01,1,2.37,50.3,29.9
USC00036920,"STUTTGART 9 ESE, AR US",1976-02,1,2.52,63.3,42.2
USC00036920,"STUTTGART 9 ESE, AR US",1976-03,1,6.17,66.1,47.3
USC00036920,"STUTTGART 9 ESE, AR US",1976-04,1,2.52,73,52.9
USC00036920,"STUTTGART 9 ESE, AR US",1976-05,1,5.15,73.2,55.5
USC00036920,"STUTTGART 9 ESE, AR US",1976-06,1,6.01,83.4,66.4
USC00036920,"STUTTGART 9 ESE, AR US",1976-07,1,1.66,89.8,70.9
USC00036920,"STUTTGART 9 ESE, AR US",1976-08,1,1.18,90,66.7
USC00036920,"STUTTGART 9 ESE, AR US",1976-09,1,2.68,81.6,60.7
USC00036920,"STUTTGART 9 ESE, AR US",1976-10,1,4.96,68.3,44.5
USC00036920,"STUTTGART 9 ESE, AR US",1976-11,1,1.46,54.3,33.7
USC00036920,"STUTTGART 9 ESE, AR US",1976-12,1,2.06,50.9,29.2
USC00036920,"STUTTGART 9 ESE, AR US",1977-01,1,3.23,37,20.7
USC00036920,"STUTTGART 9 ESE, AR US",1977-02,1,1.93,55.3,33.1
USC00036920,"STUTTGART 9 ESE, AR US",1977-03,1,5.6,67.3,45.9
